
// 10 surgeons, 5 days, 2 shifts - Always available

/* Patient Data */
// Durations
Duration = [47,60,90,49,47,38,116,44,96,49,73,135,47,135,180,50,22,183,52,50,22,39,62,72,47,70,250,44,47,88,180,52,135,224,47,50,116,47,47,60,145,61,180,180,140,116,224,47,22,47,96,224,194,96,69,73,142,112,90,47,95,135,47,83,50,74,47,135,47,142,135,195,71,96,95,180,60,116,90,77,58,60,47,44,44,47,47,70,50,47,224,231,60,38,49,180,47,60,183,47,60,134,119,74,70,38,47,47,47,60,70,224,47,58,135,53,73,116,47,44,44,70,47,135,60,268,60,35,48,38,142,50,70,34,39,47,90,60,198,116,52,47,116,60,116,116,47,90,90,52,47,135,90,50,50,50,52,85,52,116,52,90,70,90,90,47,36,58,34,36,50,217,90,116,34,116,47,135,89,50,52,69,125,116,90,50,90,47,90,70,90,180,69,217,92,47,47,47,60,69,60,142,135,47,28,50,34,47,69,135,224,94,45,47,52,180,69,52,50,180,47,47,60,180,180,47,70,44,52,135,90,47,119,133,231,48,60,224,135,90,394,52,135,60,60,44,70,47,90,47,47,180,135,47,47,47,83,58,50,69,224,50,70,199,50,180,70,96,116,224,88,190,135,66,88,60,217,47,96,47,90,217,60,69,60,70,60,180,69,28,135,69,44,58,73,74,47,50,215,50,58,69,343,60,145,34,83,217,47,92,180,50,90,22,96,47];

// WaitingDays
Waiting = [238,238,237,239,238,242,249,246,245,244,263,274,146,242,242,154,154,153,152,152,
		   252,201,253,253,253,175,279,239,238,285,139,139,139,138,134,133,174,239,147,147,
		   146,146,146,146,146,146,146,141,264,258,259,232,291,294,141,140,302,301,321,321,
		   176,175,172,172,172,306,132,176,176,270,270,238,316,181,372,132,260,265,267,266,
		   161,158,169,195,230,168,183,183,183,182,189,188,182,183,183,195,195,195,195,193,
		   196,132,132,202,202,203,202,202,202,204,204,204,168,168,165,162,210,209,211,211,
		   211,211,161,161,214,214,216,216,216,215,133,217,223,162,229,230,127,127,127,130,
		   130,130,130,127,130,127,126,125,125,125,125,125,125,125,125,124,123,123,131,130,
		   131,123,123,123,120,120,120,120,123,120,116,117,118,118,119,119,119,119,119,119,
		   118,113,116,116,113,113,113,112,112,112,111,111,111,111,111,111,111,111,111,111,
		   109,106,103,103,103,102,104,104,104,105,105,105,105,104,104,105,105,105,104,105,
		   102,104,104,104,104,104,105,102,102,102,102,99,99,99,99,99,98,98,98,98,98,98,97,
		   97,97,97,97,97,97,97,95,95,92,92,92,92,92,91,91,91,91,91,91,91,91,90,90,90,90,90,
		   90,90,90,90,90,89,89,88,88,88,88,88,88,88,88,85,85,85,85,85,85,85,85,85,84,84,84,
		   84,84,84,84,84,83,83,83,83,83,83,83,82,82,82,81,81,76,76];

// Priority
Priority = [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0];

// Surgeon
Surgeon = [9,8,5,5,10,1,5,7,8,4,3,2,7,3,4,9,8,1,5,10,3,5,8,7,2,8,7,3,1,6,10,1,6,5,1,6,7,3,7,5,9,10,9,4,3,6,8,5,4,6,8,1,8,10,4,6,5,4,10,9,2,7,10,6,5,4,9,9,4,9,6,4,2,4,8,3,9,4,3,3,4,5,2,9,3,10,5,10,1,1,9,4,7,3,6,5,3,7,8,1,2,7,8,5,2,1,10,6,4,1,10,9,8,1,4,1,4,10,4,3,10,10,7,5,9,2,6,10,10,10,3,8,5,7,6,3,8,10,4,7,7,5,5,10,6,6,7,5,7,10,4,8,10,1,4,3,4,10,2,6,2,1,5,1,5,2,7,7,10,6,8,8,1,10,5,4,8,9,6,5,10,4,4,4,3,8,6,9,4,6,1,4,3,3,4,8,7,5,3,4,9,2,3,9,5,7,10,1,5,7,4,2,2,2,6,1,9,10,1,4,10,5,6,4,10,4,8,4,5,10,8,1,7,9,1,9,8,5,2,5,2,4,3,6,5,5,10,9,9,2,2,4,6,7,1,5,9,4,3,6,2,10,10,3,1,10,5,9,4,1,7,1,9,3,1,9,2,4,5,9,7,10,6,10,4,8,6,2,7,7,8,3,9,6,6,8,8,9,10,4,5,4,4,2,3,6,10,9,2,7,1,2,1,4,2,9]; 
 
 /* Surgeon Availability */
 
 
SurgeonAvailability = [ 
			//	Days	   Mon	 Tue   Wed   Thu   Fri	
						[[1,1],[1,1],[1,1],[1,1],[1,1]], // Surgeon 1  
						[[1,1],[1,1],[1,1],[1,1],[1,1]], // Surgeon 2 
						[[1,1],[1,1],[1,1],[1,1],[1,1]], // Surgeon 3  
						[[1,1],[1,1],[1,1],[1,1],[1,1]], // Surgeon 4  
					   	[[1,1],[1,1],[1,1],[1,1],[1,1]], // Surgeon 5  
					 	[[1,1],[1,1],[1,1],[1,1],[1,1]], // Surgeon 6  
					 	[[1,1],[1,1],[1,1],[1,1],[1,1]], // Surgeon 7  
					 	[[1,1],[1,1],[1,1],[1,1],[1,1]], // Surgeon 8  
					 	[[1,1],[1,1],[1,1],[1,1],[1,1]], // Surgeon 9 
					 	[[1,1],[1,1],[1,1],[1,1],[1,1]], // Surgeon 10  
				 	];
/* Block Availability */
// 5 days, 3 rooms, 2 shifts
BlockAvailability = [
			// Rooms	   G	 H	   I 
						[[1,1],[0,0],[1,1]], // Monday
						[[1,1],[0,0],[1,0]], // Tuesday
						[[0,0],[0,0],[1,0]], // Wednesday
						[[0,0],[0,0],[0,0]], // Thursday
						[[0,0],[1,0],[1,0]], // Friday
					];
